orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua,gobierno_local,sitio,latitud,longitud,Poblacion_partido,Personas_con_cloacas,Actividad_principal,mes,dayofyear,estacion,anio,dia_del_anio
41.0,Playa La Balandra,BS093,2021-08-25,2021.0,invierno,7.0,9.0,9.99,9.22,Ausencia,ausenca,Ausencia,Ausencia,300.0,20.0,20.0,2.0,1.3,0.33,0.23,5.0,30.0,75.0,100.0,0.005,0.001,0.01,0.2,46.0,Muy deteriorada,CABA,Boca cerrada (res. extra nat. punta Lara),-34.535.878,-58.008.481,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,237.0,invierno,2021.0,237.0
42.0,Playa La Balandra,BS093,2021-08-25,2021.0,invierno,7.0,8.0,10.7,9.19,Ausencia,Ausencia,Ausencia,Ausencia,4200.0,80.0,240.0,2.0,0.7,0.45,0.22,7.3,37.0,75.0,100.0,0.005,0.001,0.01,0.2,43.0,Extremadamente deteriorada,CABA,Boca cerrada (res. extra nat. punta Lara),-34.535.878,-58.008.481,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,237.0,invierno,2021.0,237.0
42.0,Playa La Balandra,BS093,2021-10-27,2021.0,primavera,11.0,19.0,8.29,8.39,Ausencia,Presencia,Ausencia,Presencia,3600.0,170.0,2.0,3.9,0.11,0.2,0.11,3.0,58.0,50.0,100.0,0.005,0.001,0.08366,0.2,49.0,Muy deteriorada,CABA,Boca cerrada (res. extra nat. punta Lara),-34.535.878,-58.008.481,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",10.0,300.0,primavera,2021.0,300.0
40.0,Balneario Municipal,BS094,2021-02-24,2021.0,verano,21.0,27.0,5.89,7.79,Ausencia,Ausencia,Ausencia,Ausencia,400.0,20.0,180.0,3.3,0.98,0.78,1.1,2.4,30.0,210.0,100.0,13.0,0.0017,0.011,0.15,49.0,Muy deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",2.0,55.0,verano,2021.0,55.0
40.0,Balneario Municipal,BS094,2021-05-19,2021.0,otoño,7.0,10.0,9.1,8.47,Ausencia,Ausencia,Ausencia,Ausencia,1.1,230.0,80.0,4.2,0.09,0.18,0.15,2.0,30.0,40.0,0.1,0.005,0.001,10.0,0.15,35.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",5.0,139.0,otoño,2021.0,139.0
40.0,Balneario Municipal,BS094,2021-08-25,2021.0,invierno,8.0,10.0,9.7,8.04,Ausencia,Ausencia,Ausencia,Ausencia,15000.0,1500.0,1000.0,4.2,0.2,0.56,0.44,7.0,30.0,29.0,100.0,0.005,0.001,0.01,0.2,41.0,Extremadamente deteriorada,CABA,Boca cerrada (res. extra nat. punta Lara),-34.535.878,-58.008.481,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,237.0,invierno,2021.0,237.0
41.0,Balneario Municipal,BS094,2021-10-27,2021.0,primavera,11.0,19.0,7.58,8.21,Ausencia,Ausencia,Ausencia,Ausencia,110.0,290.0,15.0,4.1,0.41,0.31,0.27,2.5,57.0,70.0,100.0,0.005,0.001,0.04153,0.2,62.0,Muy deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""Industria Manufacturera""",10.0,300.0,primavera,2021.0,300.0
38.0,Diagonal 66 (descarga cloaca),BS095,2021-02-24,2021.0,verano,24.0,27.0,4.28,7.47,Presencia,Presencia,Presencia,Presencia,80000.0,1500.0,480.0,4.0,5.3,1.9,1.2,6.3,45.0,5.9,100.0,5.0,0.001,0.005,0.15,26.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",2.0,55.0,verano,2021.0,55.0
38.0,Diagonal 66 (descarga cloaca),BS095,2021-05-19,2021.0,otoño,8.0,12.0,7.2,7.99,Ausencia,Ausencia,Ausencia,Ausencia,32000.0,32000.0,1500.0,2.0,6.3,0.61,0.51,4.8,30.0,3.3,0.1,0.005,0.001,10.0,0.15,29.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",5.0,139.0,otoño,2021.0,139.0
38.0,Diagonal 66 (descarga cloaca),BS095,2021-08-25,2021.0,invierno,10.0,12.0,6.32,7.77,Ausencia ,Ausencia,Ausencia,Ausencia,80000.0,10000.0,3700.0,2.0,9.3,1.3,1.2,6.9,35.0,10.0,100.0,0.005,0.01,0.01,0.2,37.0,Extremadamente deteriorada,CABA,Boca cerrada (res. extra nat. punta Lara),-34.535.878,-58.008.481,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",8.0,237.0,invierno,2021.0,237.0
39.0,Diagonal 66 (descarga cloaca),BS095,2021-10-27,2021.0,primavera,10.0,19.0,5.79,7.71,Presencia,Presencia,Presencia,Presencia,140000.0,12000.0,28000.0,2.0,14.0,1.6,1.5,11.0,55.0,7.0,100.0,0.005,0.001,0.02551,0.2,26.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""Industria Manufacturera""",10.0,300.0,primavera,2021.0,300.0
31.0,Puerto Trinidad calle 47,BZ077,2021-02-24,2021.0,verano,25.5,26.0,7.51,7.65,Ausencia,Ausencia,Ausencia,Ausencia,3000.0,2800.0,3000.0,6.2,0.54,0.64,0.94,6.0,55.0,120.0,100.0,44.0,0.001,0.019,0.15,35.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",2.0,55.0,verano,2021.0,55.0
31.0,Puerto Trinidad calle 47,BZ077,2021-05-19,2021.0,otoño,13.0,16.0,12.39,9.23,Ausencia,Ausencia,Ausencia,Ausencia,29000.0,1000.0,800.0,5.9,0.24,0.22,0.22,4.2,9.8,33.0,75.0,100.0,0.005,0.001,10.0,41.0,Extremadamente deteriorada,CABA,Arroyo Santo Domingo,-3.469.195,-5.847.945,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",5.0,139.0,otoño,2021.0,139.0
